1425 problems to do (model=qwen2.5-coder:7b):
#212	1400	D. Alternating Path
#213	1000	C. Spring
#214	800	B. Right Maximum
#216	2600	F. Binary Search with One Swap
#217	2200	E. Probabilistic Card Game
#218	1700	D. Divisibility Game
#219	1500	C. Test Generator
#220	1000	B. Beautiful Numbers
#221	800	A. Towers of Boxes
#222	2500	G1. Monotone Monochrome Matrices (Easy Version)
#223	1200	B. ABAB Construction
#224	800	A. Parkour Design
#225	3500	G. Codeforces Heuristic Contest 1001
#226	2800	F2. Monotone Monochrome Matrices (Hard Version)
#227	2900	F1. Monotone Monochrome Matrices (Medium Version)
#228	2900	E. ABBA Counting
#229	2500	D. Binary Not Search and Queries
#230	2000	C. Rigged Bracket Sequence
#231	1700	B. Recollect Numbers
#232	1700	A2. Lost Civilization (Hard Version)
#246	1300	A1. Lost Civilization (Easy Version)
#247	2600	H. Six Seven
#248	2200	G. Operation Permutation
#249	1900	F. Mooclear Reactor 2
#250	1500	E. Divisive Battle
#251	1300	D. Portal
#252	900	C. Specialty String
#253	800	B. Deletion Sort
#254	800	A. Eating Game
#255	3000	I. Strange Process
#256	2300	H. Sum of MEX
#257	2500	G. Jammer
#258	2000	F. Self-Produced Sequences
#259	2100	E. Supersequence
#260	1800	D. Two Arrays
#261	1600	C. Minesweeper
#262	1400	B. Two Towers
#263	1000	A. Game
#264	1100	B. Array and Permutation
#265	800	A. Friendly Numbers
#266	3300	F. Indivisible
#267	3000	E2. Fuzzy Concatenation (Hard version)
#268	2900	E1. Fuzzy Concatenation (Easy Version)
#269	2500	D. Double Bracket Sequence
#270	2000	C2. Interactive Graph (Hard Version)
#271	1800	C1. Interactive Graph (Simple Version)
#272	1600	B. Another Problem about Beautiful Pairs
#273	1200	A. Game with a Fraction
#274	2400	H. Codeforces Heuristic Contest 001
#275	2300	G. Idiot First Search and Queries
#276	2000	F. Parabola Independence
#277	1500	E. Idiot First Search
#278	1300	D. Absolute Cinema
#279	1100	C. Dice Roll Sequence
#280	900	B. Heapify 1
#281	800	A. Sieve of Erato67henes
#282	3000	F2. Again Trees... (hard version)
#283	2400	Min Max Subarrays II
#285	2600	E. Snaking Arrangement
#286	2000	D. Magical Tiered Cake
#287	1500	C2. Seating Arrangement (Hard Version)
#288	1300	C1. Seating Arrangement (Easy Version)
#289	900	B. Cake Leveling
#290	800	A. Convergence
#291	2600	F. Quadratic Jumps
#292	2300	E. Graph Cutting
#293	1900	D. Maximum Prefix Sums
#294	1400	C. Chipmunk Theo and Equality
#295	1100	B. Another Sorting Problem
#296	800	A. Construct an Array
#297	2700	F. Game on Growing Tree
#298	2100	E. Minimum Influence
#299	1700	D. Good Schedule
#300	1300	C. Arrange the Numbers in a Circle
#301	1000	B. Digit String
#302	800	A. Optimal Purchase
#303	3400	I. The Endians
#304	3200	H. Wowee Binary String
#305	2900	G. Roadworks
#306	2400	F. Load Unbalancing
#307	2100	E. Deconstruction Tree
#308	1700	D. Me When Median Problem
#309	1400	C2. We Be Flipping (Hard Version)
#310	900	C1. We Be Flipping (Easy Version)
#311	800	B. Absolute Cinema
#312	800	A. Slimes on a Line
#313	2700	F. Momoyo and the Network
#314	2500	E2. Amanojaku and Sequence (Hard Version)
#315	2400	E1. Amanojaku and Sequence (Easy Version)
#316	1900	D. Sanae, Cross and Color
#317	1600	C2. Cirno and Number (Hard Version)
#318	1500	C1. Cirno and Number (Easy Version)
#319	1100	B. Remilia Plays Soku
#320	800	A. Marisa Steals Reimu's Takeout
#321	2100	H. Fallen Leaves
#322	2000	G. Drowning
#323	1700	F. It Just Keeps Going Sideways
#324	1400	E. It All Went Sideways
#325	1200	D. Palindromex
#326	800	C. Snowfall
#327	800	B. Party Monster
#328	800	A. Koshary
#329	3000	G. Stop Spot
#330	2800	F. Inversion Invasion
#331	2300	E. Mental Monumental (Hard Version)
#332	1900	D. Reserved Reversals
#333	1500	C. Mental Monumental (Easy Version)
#334	900	B. Everything Everywhere
#335	800	A. Disturbing Distribution
#336	1200	B. Zhily and Mex and Max
#337	800	A. Zhily and Array Operating
#338	3400	F. Zhily and Colorful Strings
#339	3500	E. Zhily and Permutation
#340	2800	D. Zhily and Cycle
#341	2300	C. Zhily and Signpost
#342	1600	B. Zhily and Barknights
#343	1300	A. Zhily and Bracket Swapping
#344	3500	H. Counting Sort?
#345	3100	G. Statistics on Tree
#346	2600	F. Building Tree
#347	2000	E. Seek the Truth
#348	1800	D. Permutation Construction
#349	1500	C. Median Partition
#350	1100	B. Artistic Balance Tree
#351	800	A. A Wonderful Contest
#352	1200	H3. Bowser's Castle (Hard Version)
#353	1200	H2. Bowser's Castle (Medium Version)
#354	1200	H1. Bowser's Castle (Easy Version)
#355	3500	A. Compare Suffixes
#356	3000	F. The Cake Is a Lie
#357	800	A. Lawn Mower
#358	1000	B. Offshores
#359	1300	C. Secret message
#360	1600	D. Table Cut
#361	2000	E. The Turtle Strikes Back
#362	2300	F1. Again Trees... (Easy Version)
#363	800	A. DBMB and the Array
#364	800	B. Reverse a Permutation
#365	1000	C. Replace and Sum
#366	1100	D. Monster Game
#367	1300	E. Product Queries
#368	1600	F. Pizza Delivery
#369	2100	G. Paths in a Tree
#370	2400	H. Remove the Grail Tree
#371	800	A. String Rotation Game
#372	1000	B. Flipping Binary String
#373	1300	C. All-in-one Gun
#374	1800	D. Cost of Tree
#375	2100	E. Swap to Rearrange
#376	2900	F. Fish Fight
#377	800	A. Array Coloring
#378	1000	B. MEX Reordering
#379	1200	A. Sorting Game
#380	1400	B1. Sub-RBS (Easy Version)
#381	1900	B2. Sub-RBS (Hard Version)
#382	2300	C. Comparable Permutations
#383	2500	D. Prufer Vertex
#384	3200	E. Median Permutation
#385	3300	F. Xor Product
#386	3300	G. Maximize Determinant
#387	800	A. Table with Numbers
#388	1200	B. The Curse of the Frog
#389	1300	C1. XOR Convenience (Easy Version)
#390	1800	C2. XOR-convenience (Hard Version)
#391	1900	D1. Little String (Easy Version)
#392	2200	D2. Little String (Hard Version)
#393	2600	E. Majority Wins?
#394	2800	F. Zhora the Vacuum Cleaner
#395	800	A. Divisible Permutation
#396	1000	B. Seats
#397	1300	A. Restricted Sorting
#398	1800	B. Shortest Statement Ever
#399	2300	C. Jerry and Tom
#400	2600	D. Cool Problem
#401	3500	E. Doors and Keys
#402	3100	F1. Al Fine (Maximizing Version)
#403	3500	F2. Al Fine (Counting Version)
#404	3500	G. Many Cartesian Trees
#405	800	A. Perfect Root
#406	800	B. Prefix Max
#407	900	C. Shifted MEX
#408	1100	D. OutOfMemoryError
#409	1500	E. The Robotic Rush
#410	1700	F. BattleCows
#411	1800	G. Mixing MEXes
#412	2500	H. BattleCows 2
#413	800	A. Social Experiment
#414	1100	B. Hourglass
#415	1100	C. Huge Pile
#416	1600	D. Unfair Game
#417	1800	E. Exquisite Array
#418	1900	F. Cherry Tree
#419	1900	G. Nastiness of Segments
#420	800	A. Binary Array Game
#421	1100	B. Yet Another MEX Problem
#422	1500	C. War Strategy
#423	1500	D1. Tree Coloring (Easy Version)
#424	2100	D2. Tree Coloring (Hard Version)
#425	2100	E. LCM is Legendary Counting Master
#426	2500	F. Jumping Man
#427	3200	G. Snake Instructions
#428	3500	H. Minimise Cost
#429	3500	I1. Pairs Flipping (Easy Version)
#430	3500	I2. Pairs Flipping (Hard Version)
#431	800	A. New Year String
#432	800	B. New Year Cake
#433	1200	C. Production of Snowmen
#434	1600	D. Christmas Tree Decoration
#435	1800	E. New Year's Gifts
#436	2300	F1. Christmas Reindeer (easy version)
#437	2500	F2. Christmas Reindeer (hard version)
#438	2800	G. Short Garland
#439	1300	A. Alphabet City
#440	1400	B. Battle of Arrays
#441	3200	C. Cacti Classification
#442	2000	D. Doorway
#443	2900	E. Elevator Against Humanity
#444	1600	F. Fragmented Nim
#445	2400	G. Greta's Game
#446	1200	H. Honey Cake
#447	3500	I. Irrigation Interlock
#448	2300	J. Jinx or Jackpot
#449	3500	K. Knit the Grid
#450	2800	L. LLM Training
#451	1700	M. Medical Parity
#452	800	A. Carnival Wheel
#453	800	B. Ashmal
#454	1900	C. XOR-factorization
#455	1900	D. Insolvable Disks
#456	2300	E. No Effect XOR
#457	2800	F1. Control Car (Easy Version)
#458	3200	F2. Control Car (Hard Version)
#459	3500	G. Balance
#460	3400	H1. Bug Is Feature (Unconditional Version)
#461	3500	H2. Bug Is Feature (Conditional Version)
#462	800	A. Blackslex and Password
#463	800	B. Blackslex and Showering
#464	1100	C. Blackslex and Number Theory
#465	1300	D. Blackslex and Penguin Civilization
#466	1800	E. Blackslex and Girls
#467	2000	F. Blackslex and Another RGB Walking
#468	2200	G. Blackslex and Penguin Migration
#469	2200	H. Blackslex and Plants
#470	800	A. Yes or Yes
#471	900	B. Impost or Sus
#472	1200	C. First or Second
#473	1700	D. Xmas or Hysteria
#474	2000	E. Flatten or Concatenate
#475	2200	F. Conquer or of Forest
#476	2800	G. deCH OR Dations
#477	3300	H. Create or Duplicate
#478	3300	I. Numbers or Fireworks
#479	800	A. Operations with Inversions
#480	1000	B. Optimal Shifts
#481	1300	C. Odd Process
#482	1800	D. Fibonacci Paths
#483	2400	E. Remove at the lowest cost
#484	2400	F. Omega Numbers
#485	800	A. Little Fairy's Painting
#486	1300	B. XOR Array
#487	1200	A. Needle in a Haystack
#488	1900	B. Wishing Cards
#489	2400	C1. Beautiful Patterns (Easy Version)
#490	2500	C2. Beautiful Patterns (Hard Version)
#491	3400	D. Secret Message
#492	3100	E1. Game of Scientists (Version 1)
#493	3200	E2. Game of Scientists (Version 2)
#494	2800	F. Mosaic Tree
#495	800	A. Sleeping Through Classes
#496	1100	B. Niko's Tactical Cards
#497	1400	C. Kanade's Perfect Multiples
#498	1900	D. Taiga's Carry Chains
#499	2200	E. Shiro's Mirror Duel
#500	2600	F. Isla's Memory Thresholds
#501	800	A. ASCII Art Contest
#502	1800	B. Buses
#503	3100	C. Circles Are Far from Each Other
#504	3100	D. Divisor Card Game
#505	1200	E. Number Maze
#506	1600	F. Cluster Computing System
#507	3300	G. Gene Editor
#508	2500	H. Shuffling Cards with Problem Solver 68!
#509	2000	I. Birthday
#510	2300	J. Sliding Tiles
#511	2100	K. Kindergarten Homework
#512	2300	L. Maximum Color Segment
#513	1300	M. Maximum Distance To Port
#514	2800	N. New Kingdom
#515	800	A. Shizuku Hoshikawa and Farm Legs
#516	900	B. Yuu Koito and Minimum Absolute Sum
#517	1100	C1. Renako Amaori and XOR Game (easy version)
#518	1400	C2. Renako Amaori and XOR Game (hard version)
#519	1400	D. Rae Taylor and Trees (easy version)
#520	2000	E. Anisphia Wynn Palettia and Good Permutations
#521	1600	F. Rae Taylor and Trees (hard version)
#522	2000	G. Sakura Adachi and Optimal Sequences
#523	2400	H. Shiori Miyagi and Maximum Array Score
#524	800	A. Maximum Neighborhood
#525	1200	B. Addition on a Segment
#526	1300	C. Quotient and Remainder
#527	2200	D. Almost Roman
#528	2100	E. Binary Strings and Blocks
#529	2600	F. Build XOR on a Segment
#530	900	A. Alice and Bob
#531	1100	B. Drifting Away
#532	1300	C. Range Operation
#533	1500	D1. Removal of a Sequence (Easy Version)
#534	2100	D2. Removal of a Sequence (Hard Version)
#535	2400	E. Points Selection
#536	2700	F. Subsequence Problem
#537	1200	A1. Encode and Decode (Easy Version)
#538	1200	A2. Encode and Decode (Hard Version)
#539	1200	B. Locate
#540	1200	C. Intercepting Butterflies
#541	800	A. Square?
#542	800	B. Your Name
#543	800	C. Isamatdin and His Magic Wand!
#544	1000	D. Yet Another Array Problem
#545	1600	E. khba Loves to Sleep!
#546	1600	F. Tree, TREE!!!
#547	1600	G. Mukhammadali and the Smooth Array
#548	800	A. Same Difference
#549	900	B. Tab Closing
#550	1300	A. Cyclic Merging
#551	1900	B. Marble Council
#552	2000	C. Binary Wine
#553	2500	D. Path Split
#554	3200	E. Rainbow Branch
#555	3500	F. Arctic Acquisition
#556	800	A. Sequence Game
#557	1000	B. Even Modulo Pair
#558	1400	C. Dungeon
#559	1800	D. Copy String
#560	2300	E. Journey
#561	2600	F1. Chain Prefix Rank (Easy Version)
#562	2900	F2. Chain Prefix Rank (Hard Version)
#563	3300	G. Pointless Machine
#564	3400	H. PalindromePalindrome
#565	800	A. Souvlaki VS. Kalamaki
#566	1700	B. Siga ta Kymata
#567	1500	C. Monopati
#568	2100	D1. Diadrash (Easy Version)
#569	2500	D2. Diadrash (Hard Version)
#570	2700	E. Plegma
#571	800	A. Beautiful Average
#572	1000	B. Beautiful String
#573	1100	C. Beautiful XOR
#574	1400	D. Beautiful Permutation
#575	1600	E. Beautiful Palindromes
#576	2100	F. Beautiful Intervals
#577	2200	G. Beautiful Tree
#578	2900	H. Beautiful Problem
#579	800	A. Round Trip
#580	1700	B. Make Connected
#581	1200	C. Loyalty
#582	2100	D. Locked Out
#583	2400	E. Left is Always Right
#584	3000	F. SubMST
#585	3500	G. Bitwise And Equals
#586	3500	H. Cycle Sort
#587	800	A. MEX Partition
#588	1100	B. Distinct Elements
#589	1300	C. Reverse XOR
#590	1700	A. MAD Interactive Problem
#591	2100	B. Rectangles
#592	2300	C. Twin Polynomials
#593	2500	D1. Inverse Minimum Partition (Easy Version)
#594	3200	D2. Inverse Minimum Partition (Hard Version)
#595	3500	E. Super-Short-Polynomial-San
#596	3500	F. Grand Finale: Snakes
#597	800	A. Suspension
#598	1200	B. Split
#599	1400	C. Annoying Game
#600	2000	D. Palindrome Flipping
#601	2600	E. Sink
#602	2600	F1. Distinct GCDs (Easy Version)
#603	3000	F2. Distinct GCDs (Hard Version)
#604	800	A. Dungeon Equilibrium
#605	900	B. Expansion Plan 2
#606	1400	C. Meximum Array 2
#607	1600	D. Billion Players Game
#608	1900	E. Adjusting Drones
#609	2400	F. Git Gud
#610	2800	G. Isaac's Queries
#611	3200	H. Keygen 3
#612	3500	I. Hyper Smawk Bros
#613	800	A. Pizza Time
#614	1000	B. Strange Machine
#615	1400	C. Maximum GCD on Whiteboard
#616	1900	D. Find the Last Number
#617	2500	E. Best Time to Buy and Sell Stock
#618	2200	F1. Strange Operation (Easy Version)
#619	3000	F2. Strange Operation (Hard Version)
#620	800	A. El fucho
#621	1100	B. Abraham's Great Escape
#622	1500	C. The Ancient Wizards' Capes
#623	1800	D. Batteries
#624	2200	E. Mimo & Yuyu
#625	2800	F. Juan's Colorful Tree
#626	800	A. Notelock
#627	1000	B. Make it Zigzag
#628	1400	C1. No Cost Too Great (Easy Version)
#629	2000	C2. No Cost Too Great (Hard Version)
#630	1900	D. Catshock
#631	2500	E. No Mind To Think
#632	2700	F1. Bombing (Easy Version)
#633	3300	F2. Bombing (Hard Version)
#634	800	A. Circle of Apple Trees
#635	800	B. Bitwise Reversion
#636	1500	C. Symmetrical Polygons
#637	1800	D. Not Alone
#638	2400	E. Zero Trailing Factorial
#639	2900	F. Odd Queries on Odd Array
#640	800	A. Increase or Smash
#641	1300	B. Catching the Krug
#642	1400	C. Triple Removal
#643	1700	D. Division Versus Addition
#644	2100	E. Monotone Subsequence
#645	2500	F. Triple Attack
#646	2900	G. Query Jungle
#647	2900	H1. Victorious Coloring (Easy Version)
#648	3500	H2. Victorious Coloring (Hard Version)
#649	800	A. Incremental Subarray
#650	1400	C. Incremental Stay
#651	1300	A. Incremental Path
#652	1700	B. Grid Counting
#653	2100	C. Limited Edition Shop
#654	2700	D. Attraction Theory
#655	2600	E1. Hidden Single (Version 1)
#656	2800	E2. Hidden Single (Version 2)
#657	3000	F. Cycle Closing
#658	3500	G. Counting Is Fun: The Finale
#659	800	A. Be Positive
#660	800	B. Unconventional Pairs
#661	900	C. MEX rose
#662	1200	D. A and B
#663	1500	E. Hidden Knowledge of the Ancients
#664	1900	F. Nezuko in the Clearing
#665	2100	G. Buratsuta 3
#666	800	A. Sublime Sequence
#667	800	B. Lasers
#668	900	C. Pacer
#669	1000	D. Destruction of the Dandelion Fields
#670	1200	E. Split
#671	1800	F. Gravity Falls
#672	1900	G. Farmer John's Last Wish
#673	800	A. Shortest Increasing Path
#674	1000	B. Multiple Construction
#675	1500	C. Rabbits
#676	1700	D. Game on Array
#677	2300	E. Maximum OR Popcount
#678	2800	F. Exchange Queries
#679	3100	G. Modular Tetration
#680	3500	H. Maxflow GCD Coloring
#681	3300	I1. Longest Increasing Path (Easy Version)
#682	3500	I2. Longest Increasing Path (Hard Version)
#683	800	A. Equal Occurrences
#684	1100	B. Merging the Sets
#685	1300	C. Wrong Binary Search
#686	1500	D1. Max Sum OR (Easy Version)
#687	2000	D2. Max Sum OR (Hard Version)
#688	2300	E. Yet Another MEX Problem
#689	2900	F. Bubble Sort
#690	800	A. Candies for Nephews
#691	1000	B. Deck of Cards
#692	1300	C. Monocarp's String
#693	1800	D. Inversion Value of a Permutation
#694	2100	E. Predicting Popularity
#695	2500	F. Long Journey
#696	2900	G. Cost of Coloring
#697	800	A. Cut the Array
#698	1000	B. Maximum Cost Permutation
#699	1300	C. Non-Descending Arrays
#700	1800	D. Price Tags
#701	2200	E1. Looking at Towers (easy version)
#702	2500	E2. Looking at Towers (difficult version)
#703	2700	F. Bracket Groups
#704	800	A. All Lengths Subtraction
#705	1000	B. Discounts
#706	1300	C. Max Tree
#707	1800	D1. Inversion Graph Coloring (Easy Version)
#708	2200	D2. Inversion Graph Coloring (Hard Version)
#709	2400	E. Make Good
#710	2700	F. Increasing Xor
#711	800	A. Furniture Store
#712	1200	B. Games
#713	1800	C. Minimum on Subarrays
#714	1800	D. Avoid Minimums
#715	2100	E. Perfect Cut
#716	2200	F. Array Reduction
#717	2800	G. Good Robot Paths
#718	2700	H. Merging Vertices in a Graph
#719	3500	I. Color the Tree
#720	800	A. Shift Sort
#721	900	B. Another Divisibility Problem
#722	1500	C. Ultimate Value
#723	2000	D. A Cruel Segment's Thesis
#724	2200	E1. Prime Gaming (Easy Version)
#725	2500	E2. Prime Gaming (Hard Version)
#726	2900	F. Sum Minimisation
#727	800	A. Maple and Multiplication
#728	800	B. Cake Collection
#729	1100	A. Cake Assignment
#730	1900	B. Antiamuny Wants to Learn Swap
#731	1800	C1. Maple and Tree Beauty (Easy Version)
#732	2000	C2. Maple and Tree Beauty (Hard Version)
#733	2600	D. Antiamuny and Slider Movement
#734	3100	E1. Determinant Construction (Easy Version)
#735	3100	E2. Determinant Construction (Hard Version)
#736	3500	F. Ode to the Bridge Builder
#737	800	A. Collatz Conjecture
#738	900	B. Fun Permutation
#739	1100	C. Maximum Even Sum
#740	1200	D. Replace with Occurrences
#741	1500	E. Mexification
#742	1900	F. Prefix Maximum Invariance
#743	2200	G. Cry Me a River
#744	800	A. In the Dream
#745	900	B. Like the Bitset
#746	1200	A. Against the Difference
#747	1700	B. For the Champion
#748	2000	C. By the Assignment
#749	2100	D1. From the Unknown (Easy Version)
#750	2500	D2. From the Unknown (Hard Version)
#751	3300	E1. Beyond the Palindrome (Easy Version)
#752	3500	E2. Beyond the Palindrome (Hard Version)
#753	3500	F. To the Infinity
#754	800	A. Painting With Two Colors
#755	1200	B. Add 0 or K
#756	1200	C. Even Larger
#757	2300	D. Sliding Tree
#758	2300	E. Power Boxes
#759	2900	F. Permutation Oddness
#760	800	A. Redstone?
#761	800	B. Villagers
#762	1400	C. The Nether
#763	1900	D. Chicken Jockey
#764	2500	E. I Yearned For The Mines
#765	3000	F. Flint and Steel
#766	800	A. Homework
#767	900	B. The Secret Number
#768	1000	C1. The Cunning Seller (easy version)
#769	1400	C2. The Cunning Seller (hard version)
#770	1600	D. From 1 to Infinity
#771	1700	E. Arithmetics Competition
#772	2100	F. Rada and the Chamomile Valley
#773	2600	G. Famous Choreographer
#774	800	A. Lever
#775	800	B. Alternating Series
#776	1100	C. Make it Equal
#777	1400	D. Arboris Contractio
#778	1400	E. Adjacent XOR
#779	1900	F. Unjust Binary Life
#780	2000	G. Wafu!
#781	2600	H. Sea, You & copriMe
#782	800	A. Submission is All You Need
#783	1100	B. Pathless
#784	1300	A. Double Perspective
#785	1600	B. Stay or Mirror
#786	1900	C1. Interactive RBS (Easy Version)
#787	2000	C2. Interactive RBS (Medium Version)
#788	2300	C3. Interactive RBS (Hard Version)
#789	2600	D. Permutation Blackhole
#790	3000	E. Induced Subgraph Queries
#791	3500	F1. Top-K Tracker (Easy Version)
#792	3500	F2. Top-K Tracker (Hard Version)
#793	800	A. Recycling Center
#794	1100	B. Deque Process
#795	1200	C. Leftmost Below
#796	1600	D. Sum of LDS
#797	1900	E1. Submedians (Easy Version)
#798	2600	E2. Submedians (Hard Version)
#799	3200	F. Strict Triangle
#800	800	A. Mix Mex Max
#801	1300	B. Hamiiid, Haaamid... Hamid?
#802	1400	C. Trip Shopping
#803	1800	D. Root was Built by Love, Broken by Destiny
#804	2100	E. Ancient Tree
#805	2800	F. Hamed and AghaBalaSar
#806	3400	G1. Inter Active (Easy Version)
#807	3500	G2. Inter Active (Hard Version)
#808	3100	H. 23 Rises Again
#809	800	A. Only One Digit
#810	800	B. No Casino in the Mountains
#811	1100	C. I Will Definitely Make It
#812	1200	D. This Is the Last Time
#813	1400	E. G-C-D, Unlucky!
#814	2000	F. 1-1-1, Free Tree!
#815	2200	G1. Big Wins! (easy version)
#816	2400	G2. Big Wins!  (hard version)
#817	800	A. Difficult Contest
#818	900	B. Left and Down
#819	1100	C. Count Good Numbers
#820	1600	D. Segments Covering
#821	2500	E. Sets of Complementary Sums
#822	3000	F. Timofey and Docker
#823	800	A. Deranged Deletions
#824	1000	B. Minimise Sum
#825	1300	C. Subset Multiplication
#826	1700	D. Make a Palindrome
#827	2100	E. Make it Zero
#828	2300	F1. Appending Permutations (Easy Version)
#829	2800	F2. Appending Permutations (Hard Version)
#830	3200	G. Maximise Sum
#831	3400	H. Longest Good Subsequence
#832	3500	I. Lexicographic Partition
#833	800	A. Blackboard Game
#834	800	B. Tournament
#835	1000	C. Prefix Min and Suffix Max
#836	1200	D. Binary String Battle
#837	1400	E. MEX Count
#838	1700	F. Minimize Fixed Points
#839	2100	G. Modular Sorting
#840	800	A. Greedy Grid
#841	1100	B. Pile Shuffling
#842	1700	C. Manhattan Pairs
#843	2400	D. Traffic Lights
#844	2600	E. Greedy Grid Counting
#845	3400	F. Colorful Polygon
#846	3300	G. Tree Parking
#847	800	A. Letter Home
#848	800	B. Above the Clouds
#849	1200	C. Those Who Are With Us
#850	1300	D. 1709
#851	1500	E. Sponsor of Your Problems
#852	1800	F. Yamakasi
#853	1900	G. Gangsta
#854	2300	H. Ice Baby
#855	800	A. Square of Rectangles
#856	1000	B. Square Pool
#857	1400	C. Divine Tree
#858	1800	D. Matrix game
#859	2300	E. Lanes of Cars
#860	2600	F. Superb Graphs
#861	3000	G. Eulerian Line Graph
#862	800	A. Add or XOR
#863	1200	B. Line Segments
#864	1300	C. A Good Problem
#865	2100	D. Token Removing
#866	2600	E. And Constraint
#867	3300	F. Volcanic Eruptions
#868	800	A. Equal Subsequences
#869	1200	B. Make It Permutation
#870	1300	C. Make It Beautiful
#871	1700	D1. Red Light, Green Light (Easy version)
#872	2200	D2. Red Light, Green Light (Hard version)
#873	2400	E. Grid Coloring
#874	3100	F. Shifts and Swaps
#875	800	A. False Alarm
#876	800	B. Shrink
#877	1200	C. Cool Partition
#878	1200	D. Retaliation
#879	1600	E. Lost Soul
#880	1800	F. Wildflower
#881	1900	G. Omg Graph
#882	2500	H. Incessant Rain
#883	800	A. Gellyfish and Tricolor Pansy
#884	1300	B. Gellyfish and Baby's Breath
#885	1500	A. Gellyfish and Flaming Peony
#886	2100	B. Gellyfish and Camellia Japonica
#887	2700	C. Gellyfish and Eternal Violet
#888	2900	D. Gellyfish and Forget-Me-Not
#889	3500	E. Gellyfish and Mayflower
#890	3500	F1. Gellyfish and Lycoris Radiata (Easy Version)
#891	3500	F2. Gellyfish and Lycoris Radiata (Hard Version)
#892	800	A. Square Year
#893	900	B. Not Quite a Palindromic String
#894	1000	C. Need More Arrays
#895	1400	D. Come a Little Closer
#896	1400	E. Kirei Attacks the Estate
#897	2000	F. Small Operations
#898	2200	G. Build an Array
#899	800	A. Shashliks
#900	1200	B. Good Start
#901	1700	C. Smilo and Minecraft
#902	2200	D. Cheater
#903	2800	E. From Kazan with Love
#904	2500	F. Two Arrays
#905	800	A. Race
#906	1100	B. Shrinking Array
#907	1300	C. Coloring Game
#908	1700	D. Reachability and Tree
#909	2200	E. Tree Colorings
#910	2800	F. Variables and Operations
#911	800	A. Energy Crystals
#912	1100	B. Fibonacci Cubes
#913	1100	C. Equal Values
#914	1400	D. Creating a Schedule
#915	1900	E. Changing the String
#916	2400	F. Puzzle
#917	2900	G. Divisible Subarrays
#918	800	A. Fashionable Array
#919	900	B. Down with Brackets
#920	1400	C. Racing
#921	1700	D. Fewer Batteries
#922	2300	E. Melody
#923	2400	F. Faculty
#924	800	A. It's Time To Duel
#925	1200	B. Slice to Survive
#926	1500	C1. Hacking Numbers (Easy Version)
#927	1700	C2. Hacking Numbers (Medium Version)
#928	2600	C3. Hacking Numbers (Hard Version)
#929	1900	D. D/D/D
#930	2400	E. Binary String Wowee
#931	3000	F. Penguin Steps
#932	800	A. Permutation Warm-Up
#933	1300	B. SUMdamental Decomposition
#934	1500	C. Neo's Escape
#935	2200	D. Needle in a Numstack
#936	2600	E. Spruce Dispute
#937	2900	F. Fallen Towers
#938	800	A. LRC and VIP
#939	1100	B. Apples in Boxes
#940	1500	C. Maximum Subarray Sum
#941	2100	D. Apple Tree Traversing
#942	2600	E. Ain and Apple Tree
#943	2300	F1. Cycling (Easy Version)
#944	2800	F2. Cycling (Hard Version)
#945	800	A. Dr. TC
#946	900	B. St. Chroma
#947	1000	C. Cherry Bomb
#948	1500	D. Flower Boy
#949	1800	E. Wolf
#950	1900	F. Goblin
#951	2200	G1. Baudelaire (easy version)
